phase,impl,scene,config,width,height,depth,samples,threads,schedule,chunk,seconds
serial,serial_rt,scene.txt,small,400,300,8,2,1,serial,0,0.0834468
serial,serial_pt,scene.txt,small,400,300,8,32,1,serial,0,4.07503
serial,serial_rt,scene.txt,medium,800,600,8,4,1,serial,0,1.37893
serial,serial_pt,scene.txt,medium,800,600,8,128,1,serial,0,64.6898
serial,serial_rt,scene.txt,large,1600,1200,8,4,1,serial,0,5.6576
serial,serial_pt,scene.txt,large,1600,1200,8,256,1,serial,0,533.884
serial,serial_rt,scene_many.txt,small,400,300,8,2,1,serial,0,0.22034
serial,serial_pt,scene_many.txt,small,400,300,8,32,1,serial,0,6.17673
serial,serial_rt,scene_many.txt,medium,800,600,8,4,1,serial,0,3.48443
serial,serial_pt,scene_many.txt,medium,800,600,8,128,1,serial,0,98.0097
serial,serial_rt,scene_many.txt,large,1600,1200,8,4,1,serial,0,13.7747
serial,serial_pt,scene_many.txt,large,1600,1200,8,256,1,serial,0,782.014
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,1,static,1,64.4438
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,1,static,8,65.1338
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,1,static,32,64.3361
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,1,static,128,64.7951
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,1,dynamic,1,64.4536
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,1,dynamic,8,64.6736
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,1,dynamic,32,64.5865
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,1,dynamic,128,64.5838
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,1,guided,1,64.6482
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,1,guided,8,64.4607
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,1,guided,32,64.4149
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,2,static,1,38.2037
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,2,static,8,38.156
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,2,static,32,38.0313
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,2,static,128,37.8336
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,2,dynamic,1,37.8105
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,2,dynamic,8,37.4817
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,2,dynamic,32,37.3795
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,2,dynamic,128,37.6374
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,2,guided,1,37.4593
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,2,guided,8,37.3228
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,2,guided,32,37.3822
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,4,static,1,21.5273
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,4,static,8,22.0445
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,4,static,32,22.3376
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,4,static,128,22.1033
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,4,dynamic,1,21.98
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,4,dynamic,8,22.0712
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,4,dynamic,32,22.1394
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,4,dynamic,128,22.1198
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,4,guided,1,22.0688
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,4,guided,8,22.0644
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,4,guided,32,22.0977
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,8,static,1,14.2576
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,8,static,8,14.2809
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,8,static,32,14.3309
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,8,static,128,14.3371
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,8,dynamic,1,14.0671
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,8,dynamic,8,14.1214
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,8,dynamic,32,14.1377
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,8,dynamic,128,14.129
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,8,guided,1,14.2065
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,8,guided,8,14.1952
schedule,omp_pt_sched,scene.txt,medium,800,600,8,128,8,guided,32,14.1566
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,1,static,1,99.5492
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,1,static,8,99.3423
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,1,static,32,99.5316
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,1,static,128,99.8744
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,1,dynamic,1,99.2149
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,1,dynamic,8,99.397
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,1,dynamic,32,100.454
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,1,dynamic,128,99.1998
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,1,guided,1,100.031
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,1,guided,8,99.3199
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,1,guided,32,99.3324
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,2,static,1,59.445
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,2,static,8,58.5182
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,2,static,32,58.7198
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,2,static,128,58.9715
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,2,dynamic,1,58.6272
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,2,dynamic,8,58.1876
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,2,dynamic,32,58.3705
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,2,dynamic,128,58.2401
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,2,guided,1,58.5523
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,2,guided,8,59.2056
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,2,guided,32,57.9492
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,4,static,1,34.1954
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,4,static,8,35.1806
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,4,static,32,35.6242
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,4,static,128,35.2051
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,4,dynamic,1,35.0511
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,4,dynamic,8,35.1419
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,4,dynamic,32,34.9337
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,4,dynamic,128,34.9559
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,4,guided,1,35.0358
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,4,guided,8,34.9226
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,4,guided,32,35.0298
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,8,static,1,23.1187
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,8,static,8,23.0073
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,8,static,32,23.2288
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,8,static,128,23.1971
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,8,dynamic,1,22.7295
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,8,dynamic,8,22.6728
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,8,dynamic,32,22.8851
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,8,dynamic,128,22.725
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,8,guided,1,23.6875
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,8,guided,8,23.2236
schedule,omp_pt_sched,scene_many.txt,medium,800,600,8,128,8,guided,32,23.0115
compare,openmp_best,scene.txt,small,400,300,8,32,1,guided,8,4.18117
compare,openmp_best,scene.txt,small,400,300,8,32,2,guided,8,2.40555
compare,openmp_best,scene.txt,small,400,300,8,32,4,guided,8,1.34619
compare,openmp_best,scene.txt,small,400,300,8,32,8,guided,8,0.765462
compare,openmp_best,scene.txt,medium,800,600,8,128,1,guided,8,70.2174
compare,openmp_best,scene.txt,medium,800,600,8,128,2,guided,8,39.6777
compare,openmp_best,scene.txt,medium,800,600,8,128,4,guided,8,23.2802
compare,openmp_best,scene.txt,medium,800,600,8,128,8,guided,8,15.464
compare,openmp_best,scene.txt,large,1600,1200,8,256,1,guided,8,581.278
compare,openmp_best,scene.txt,large,1600,1200,8,256,2,guided,8,302.865
compare,openmp_best,scene.txt,large,1600,1200,8,256,4,guided,8,175.561
compare,openmp_best,scene.txt,large,1600,1200,8,256,8,guided,8,112.857
compare,openmp_best,scene_many.txt,small,400,300,8,32,1,dynamic,128,6.30761
compare,openmp_best,scene_many.txt,small,400,300,8,32,2,dynamic,128,3.65936
compare,openmp_best,scene_many.txt,small,400,300,8,32,4,dynamic,128,2.22748
compare,openmp_best,scene_many.txt,small,400,300,8,32,8,dynamic,128,1.25109
compare,openmp_best,scene_many.txt,medium,800,600,8,128,1,dynamic,128,101.456
compare,openmp_best,scene_many.txt,medium,800,600,8,128,2,dynamic,128,58.9903
compare,openmp_best,scene_many.txt,medium,800,600,8,128,4,dynamic,128,34.3302
compare,openmp_best,scene_many.txt,medium,800,600,8,128,8,dynamic,128,22.8551
compare,openmp_best,scene_many.txt,large,1600,1200,8,256,1,dynamic,128,796.495
compare,openmp_best,scene_many.txt,large,1600,1200,8,256,2,dynamic,128,468.221
compare,openmp_best,scene_many.txt,large,1600,1200,8,256,4,dynamic,128,279.796
compare,openmp_best,scene_many.txt,large,1600,1200,8,256,8,dynamic,128,182.725
